id,domain,sentence,option_A,option_B,option_C,option_D,true_label,predicted_label,raw_model_response,correct,model,timestamp
60,Social Media / Online,Thanks for keeping the debate civil by bringing up my past posts.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,C,C,False,Gemma-2-9B-it,2025-08-07 06:45:58
75,News / Headlines,Groundbreaking study finds exercise may benefit health after all.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,C,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
77,News / Headlines,Experts uncertain whether markets will fluctuate.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,C,B,B,False,Gemma-2-9B-it,2025-08-07 06:45:58
79,News / Headlines,Health guidelines suggest water consumption might be helpful.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,C,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
83,News / Headlines,Thanks to regulators for addressing concerns after the crisis.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
85,News / Headlines,Nice of the report to be released after public outrage.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,C,C,False,Gemma-2-9B-it,2025-08-07 06:45:58
86,News / Headlines,Glad environmental protections were mentioned after the project began.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,C,C,False,Gemma-2-9B-it,2025-08-07 06:45:58
87,News / Headlines,Appreciate how corporate transparency improved after lawsuits.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
88,News / Headlines,Glad to see safety measures tightened after the incident.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
89,News / Headlines,It's encouraging that user feedback mattered after the update rolled out.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
90,News / Headlines,Glad the headline avoids mentioning the key detail until the last paragraph.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,C,C,False,Gemma-2-9B-it,2025-08-07 06:45:58
95,Customer Service,The estimated delivery date keeps shifting without explanation.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
97,Customer Service,My ticket has been open for weeks without any updates.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
98,Customer Service,Having to navigate a maze of automated menus is exhausting.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
110,Daily Life / Personal,It's exhausting keeping up with everyone's last-minute plans.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
111,Daily Life / Personal,The constant noise in the neighborhood is getting to me.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,B,D,D,False,Gemma-2-9B-it,2025-08-07 06:45:58
116,Daily Life / Personal,"Of course, the recipe turned out exactly like the picture.",Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,C,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
118,Daily Life / Personal,Thanks for the advice that I didn't ask for.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,C,C,False,Gemma-2-9B-it,2025-08-07 06:45:58
119,Daily Life / Personal,I appreciate how you invited yourself over last minute.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,C,C,False,Gemma-2-9B-it,2025-08-07 06:45:58
120,Daily Life / Personal,Thanks for reminding me of my responsibilities during my break.,Literal positive interpretation,Literal negative interpretation,Sarcastic/mock interpretation,Polite but frustrated interpretation,D,A,A,False,Gemma-2-9B-it,2025-08-07 06:45:58
